SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
BAHO,Bahama Oriole,Icterus northropi,ICTNOR,Passeriformes,Icteridae,
BAHS,Bahama Swallow,Tachycineta cyaneoviridis,TACCYA,Passeriformes,Hirundinidae,Hirundininae
BAHW,Bahama Warbler,Setophaga flavescens,SETFLA,Passeriformes,Parulidae,
BAWO,Bahama Woodstar,Calliphlox evelynae,CALEVE,Apodiformes,Trochilidae,Trochilinae
BAYE,Bahama Yellowthroat,Geothlypis rostrata,GEOROS,Passeriformes,Parulidae,
BATE,Baikal Teal,Anas formosa,ANAFOR,Anseriformes,Anatidae,Anatinae
BASA,Baird's Sandpiper,Calidris bairdii,CALBAI,Charadriiformes,Scolopacidae,Scolopacinae
BAIS,Baird's Sparrow,Ammodramus bairdii,AMMBAI,Passeriformes,Emberizidae,
BATR,Baird's Trogon,Trogon bairdii,TROBAI,Trogoniformes,Trogonidae,Trogoninae
BAEA,Bald Eagle,Haliaeetus leucocephalus,HALLEU,Accipitriformes,Accipitridae,Accipitrinae
BASO,Balsas Screech-Owl,Megascops seductus,MEGSED,Strigiformes,Strigidae,
BAOR,Baltimore Oriole,Icterus galbula,ICTGAL,Passeriformes,Icteridae,
BANA,Bananaquit,Coereba flaveola,COEFLA,Passeriformes,,
BABW,Band-backed Wren,Campylorhynchus zonatus,CAMZON,Passeriformes,Troglodytidae,
BAQU,Banded Quail,Philortyx fasciatus,PHIFAS,Galliformes,Odontophoridae,
BANW,Banded Wren,Thryophilus pleurostictus,THRPLE,Passeriformes,Troglodytidae,
BSTP,Band-rumped Storm-Petrel,Oceanodroma castro,OCECAS,Procellariiformes,Hydrobatidae,
BRSW,Band-rumped Swift,Chaetura spinicaudus,CHASPI,Apodiformes,Apodidae,Chaeturinae
BTBA,Band-tailed Barbthroat,Threnetes ruckeri,THRRUC,Apodiformes,Trochilidae,Phaethornithinae
